date,index,value
2015-06-05,SENSEX,19563.29
2015-06-08,SENSEX,19523.12
2015-06-09,SENSEX,19799.23
2015-06-10,SENSEX,19573.49
2015-06-11,SENSEX,19722.33
2015-06-12,SENSEX,19754.98
2015-06-15,SENSEX,19742.38
2015-06-16,SENSEX,19808.81
2015-06-17,SENSEX,19710.62
2015-06-18,SENSEX,19778.36
2015-06-19,SENSEX,19774.91
2015-06-22,SENSEX,19869.49
2015-06-23,SENSEX,19940.37
2015-06-24,SENSEX,19795.23
2015-06-25,SENSEX,20009.9
2015-06-26,SENSEX,20089.76
2015-06-29,SENSEX,20049.81
2015-06-30,SENSEX,20291.38
2015-07-01,SENSEX,20202.94
2015-07-02,SENSEX,20233.77
2015-07-03,SENSEX,20118.78
2015-07-06,SENSEX,20175.82
2015-07-07,SENSEX,20135.99
2015-07-08,SENSEX,20250.74
2015-07-09,SENSEX,20027.5
2015-07-10,SENSEX,20117.99
2015-07-13,SENSEX,20187.56
2015-07-14,SENSEX,20334.02
2015-07-15,SENSEX,20319.14
2015-07-16,SENSEX,20402.93
2015-07-17,SENSEX,20468.15
2015-07-20,SENSEX,20288.73
2015-07-21,SENSEX,20207.19
2015-07-22,SENSEX,20226.96
2015-07-23,SENSEX,20225.31
2015-07-24,SENSEX,20202.97
2015-07-27,SENSEX,20406.8
2015-07-28,SENSEX,20297.37
2015-07-29,SENSEX,20526.72
2015-07-30,SENSEX,20287.74
2015-07-31,SENSEX,20284.76
2015-08-03,SENSEX,20141.24
2015-08-04,SENSEX,20203.69
2015-08-05,SENSEX,20212.0
2015-08-06,SENSEX,20371.22
2015-08-07,SENSEX,20332.07
2015-08-10,SENSEX,20292.82
2015-08-11,SENSEX,20214.36
2015-08-12,SENSEX,20051.61
2015-08-13,SENSEX,20045.6
2015-08-14,SENSEX,20041.43
2015-08-17,SENSEX,19964.9
2015-08-18,SENSEX,19869.04
2015-08-19,SENSEX,19864.35
2015-08-20,SENSEX,19788.33
2015-08-21,SENSEX,19703.7
2015-08-24,SENSEX,19912.64
2015-08-25,SENSEX,20138.42
2015-08-26,SENSEX,20269.73
2015-08-27,SENSEX,20264.11
2015-08-28,SENSEX,20418.7
2015-08-31,SENSEX,20523.92
2015-09-01,SENSEX,20497.69
2015-09-02,SENSEX,20437.55
2015-09-03,SENSEX,20082.02
2015-09-04,SENSEX,19915.98
2015-09-07,SENSEX,20030.14
2015-09-08,SENSEX,20159.57
2015-09-09,SENSEX,20132.34
2015-09-10,SENSEX,20108.63
2015-09-11,SENSEX,20048.22
2015-09-14,SENSEX,20018.53
2015-09-15,SENSEX,20051.97
2015-09-16,SENSEX,20197.65
2015-09-17,SENSEX,20382.45
2015-09-18,SENSEX,20434.77
2015-09-21,SENSEX,20485.75
2015-09-22,SENSEX,20435.81
2015-09-23,SENSEX,20436.56
2015-09-24,SENSEX,20374.23
2015-09-25,SENSEX,20203.55
2015-09-28,SENSEX,20191.13
2015-09-29,SENSEX,20158.04
2015-09-30,SENSEX,19899.85
2015-10-01,SENSEX,19831.23
2015-10-02,SENSEX,19703.16
2015-10-05,SENSEX,19616.52
2015-10-06,SENSEX,19838.49
2015-10-07,SENSEX,19799.16
2015-10-08,SENSEX,19893.91
2015-10-09,SENSEX,19854.02
2015-10-12,SENSEX,19857.2
2015-10-13,SENSEX,19759.34
2015-10-14,SENSEX,19683.55
2015-10-15,SENSEX,20044.3
2015-10-16,SENSEX,20172.91
2015-10-19,SENSEX,19948.03
2015-10-20,SENSEX,19686.57
2015-10-21,SENSEX,19740.44
2015-10-22,SENSEX,19830.31
2015-10-23,SENSEX,19924.54
2015-10-26,SENSEX,19768.38
2015-10-27,SENSEX,19745.78
2015-10-28,SENSEX,19815.07
2015-10-29,SENSEX,19998.03
2015-10-30,SENSEX,20257.97
2015-11-02,SENSEX,20348.41
2015-11-03,SENSEX,20386.61
2015-11-04,SENSEX,20288.27
2015-11-05,SENSEX,20302.12
2015-11-06,SENSEX,20267.21
2015-11-09,SENSEX,20220.5
2015-11-10,SENSEX,20175.6
2015-11-11,SENSEX,20072.05
2015-11-12,SENSEX,20162.0
2015-11-13,SENSEX,19965.44
2015-11-16,SENSEX,20232.35
2015-11-17,SENSEX,20049.69
2015-11-18,SENSEX,20058.66
2015-11-19,SENSEX,19996.2
2015-11-20,SENSEX,19963.45
2015-11-23,SENSEX,20099.55
2015-11-24,SENSEX,19937.86
2015-11-25,SENSEX,19757.35
2015-11-26,SENSEX,19931.34
2015-11-27,SENSEX,19914.79
2015-11-30,SENSEX,19841.11
2015-12-01,SENSEX,19734.71
2015-12-02,SENSEX,19651.34
2015-12-03,SENSEX,19542.58
2015-12-04,SENSEX,19533.71
2015-12-07,SENSEX,19679.86
2015-12-08,SENSEX,19939.53
2015-12-09,SENSEX,20131.22
2015-12-10,SENSEX,20011.29
2015-12-11,SENSEX,20059.6
2015-12-14,SENSEX,19933.95
2015-12-15,SENSEX,20034.24
2015-12-16,SENSEX,20227.3
2015-12-17,SENSEX,20276.52
2015-12-18,SENSEX,20311.38
2015-12-21,SENSEX,20564.88
2015-12-22,SENSEX,20515.19
2015-12-23,SENSEX,20628.77
2015-12-24,SENSEX,20800.07
2015-12-25,SENSEX,20760.87
2015-12-28,SENSEX,20642.16
2015-12-29,SENSEX,20735.51
2015-12-30,SENSEX,20775.45
2015-12-31,SENSEX,20959.74
2016-01-01,SENSEX,20978.18
2016-01-04,SENSEX,20885.48
2016-01-05,SENSEX,21060.41
2016-01-06,SENSEX,21237.68
2016-01-07,SENSEX,21287.52
2016-01-08,SENSEX,21296.01
2016-01-11,SENSEX,21263.34
2016-01-12,SENSEX,21413.69
2016-01-13,SENSEX,21415.24
2016-01-14,SENSEX,21619.25
2016-01-15,SENSEX,21582.08
2016-01-18,SENSEX,21779.09
2016-01-19,SENSEX,21868.9
2016-01-20,SENSEX,22097.02
2016-01-21,SENSEX,22144.88
2016-01-22,SENSEX,22077.08
2016-01-25,SENSEX,21911.83
2016-01-26,SENSEX,21965.81
2016-01-27,SENSEX,21819.77
2016-01-28,SENSEX,21957.7
2016-01-29,SENSEX,21930.83
2016-02-01,SENSEX,22040.75
2016-02-02,SENSEX,22052.18
2016-02-03,SENSEX,21983.7
2016-02-04,SENSEX,22214.42
2016-02-05,SENSEX,22285.19
2016-02-08,SENSEX,22504.59
2016-02-09,SENSEX,22425.0
2016-02-10,SENSEX,22436.74
2016-02-11,SENSEX,22449.38
2016-02-12,SENSEX,22520.11
2016-02-15,SENSEX,22419.72
2016-02-16,SENSEX,22477.68
2016-02-17,SENSEX,22336.85
2016-02-18,SENSEX,22346.7
2016-02-19,SENSEX,22372.8
2016-02-22,SENSEX,22545.73
2016-02-23,SENSEX,22366.75
2016-02-24,SENSEX,22451.79
2016-02-25,SENSEX,22444.67
2016-02-26,SENSEX,22623.06
2016-02-29,SENSEX,22652.27
2016-03-01,SENSEX,22662.3
2016-03-02,SENSEX,22607.26
2016-03-03,SENSEX,22576.38
2016-03-04,SENSEX,22404.22
2016-03-07,SENSEX,22218.06
2016-03-08,SENSEX,22194.85
2016-03-09,SENSEX,22100.67
2016-03-10,SENSEX,22192.52
2016-03-11,SENSEX,22201.22
2016-03-14,SENSEX,22169.58
2016-03-15,SENSEX,22102.67
2016-03-16,SENSEX,21992.06
2016-03-17,SENSEX,22228.49
2016-03-18,SENSEX,22329.02
2016-03-21,SENSEX,22376.57
2016-03-22,SENSEX,22402.26
2016-03-23,SENSEX,22326.03
2016-03-24,SENSEX,22435.55
2016-03-25,SENSEX,22406.42
2016-03-28,SENSEX,22361.84
2016-03-29,SENSEX,22423.56
2016-03-30,SENSEX,22487.44
2016-03-31,SENSEX,22535.05
2016-04-01,SENSEX,22503.36
2016-04-04,SENSEX,22517.76
2016-04-05,SENSEX,22540.57
2016-04-06,SENSEX,22390.62
2016-04-07,SENSEX,22423.79
2016-04-08,SENSEX,22404.24
2016-04-11,SENSEX,22337.86
2016-04-12,SENSEX,22283.24
2016-04-13,SENSEX,22369.08
2016-04-14,SENSEX,22180.16
2016-04-15,SENSEX,22135.58
2016-04-18,SENSEX,22047.04
2016-04-19,SENSEX,22024.5
2016-04-20,SENSEX,21999.18
2016-04-21,SENSEX,22016.38
2016-04-22,SENSEX,21896.44
2016-04-25,SENSEX,21937.45
2016-04-26,SENSEX,22050.11
2016-04-27,SENSEX,21973.14
2016-04-28,SENSEX,22035.46
2016-04-29,SENSEX,22135.79
2016-05-02,SENSEX,22254.0
2016-05-03,SENSEX,22229.05
2016-05-04,SENSEX,22332.11
2016-05-05,SENSEX,22336.32
2016-05-06,SENSEX,22417.13
2016-05-09,SENSEX,22606.16
2016-05-10,SENSEX,22669.92
2016-05-11,SENSEX,22514.28
2016-05-12,SENSEX,22585.57
2016-05-13,SENSEX,22502.62
2016-05-16,SENSEX,22566.73
2016-05-17,SENSEX,22599.04
2016-05-18,SENSEX,22588.43
2016-05-19,SENSEX,22621.04
2016-05-20,SENSEX,22635.97
2016-05-23,SENSEX,22717.58
2016-05-24,SENSEX,22879.01
2016-05-25,SENSEX,22903.9
2016-05-26,SENSEX,23023.67
2016-05-27,SENSEX,23124.31
2016-05-30,SENSEX,23241.53
2016-05-31,SENSEX,23254.15
2016-06-01,SENSEX,23089.87
2016-06-02,SENSEX,23039.04
2016-06-03,SENSEX,22941.21
2016-06-06,SENSEX,22940.4
2016-06-07,SENSEX,23054.45
2016-06-08,SENSEX,23105.68
2016-06-09,SENSEX,23280.94
2016-06-10,SENSEX,23205.47
2016-06-13,SENSEX,23254.4
2016-06-14,SENSEX,23369.0
2016-06-15,SENSEX,23306.82
2016-06-16,SENSEX,23316.14
2016-06-17,SENSEX,23375.16
2016-06-20,SENSEX,23594.09
2016-06-21,SENSEX,23651.09
2016-06-22,SENSEX,23615.38
2016-06-23,SENSEX,23638.59
2016-06-24,SENSEX,23540.03
2016-06-27,SENSEX,23520.46
2016-06-28,SENSEX,23529.39
2016-06-29,SENSEX,23371.83
2016-06-30,SENSEX,23369.7
2016-07-01,SENSEX,23268.51
2016-07-04,SENSEX,23106.74
2016-07-05,SENSEX,22982.87
2016-07-06,SENSEX,22973.52
2016-07-07,SENSEX,23103.23
2016-07-08,SENSEX,22972.28
2016-07-11,SENSEX,22990.59
2016-07-12,SENSEX,23115.09
2016-07-13,SENSEX,23070.39
2016-07-14,SENSEX,23134.37
2016-07-15,SENSEX,23036.19
2016-07-18,SENSEX,23303.76
2016-07-19,SENSEX,23110.72
2016-07-20,SENSEX,23258.33
2016-07-21,SENSEX,23367.28
2016-07-22,SENSEX,23521.84
2016-07-25,SENSEX,23496.15
2016-07-26,SENSEX,23164.26
2016-07-27,SENSEX,23060.03
2016-07-28,SENSEX,22964.43
2016-07-29,SENSEX,23023.73
2016-08-01,SENSEX,23145.11
2016-08-02,SENSEX,23261.14
2016-08-03,SENSEX,23127.14
2016-08-04,SENSEX,23057.1
2016-08-05,SENSEX,23129.99
2016-08-08,SENSEX,22904.61
2016-08-09,SENSEX,22866.24
2016-08-10,SENSEX,22915.13
2016-08-11,SENSEX,22950.37
2016-08-12,SENSEX,23178.85
2016-08-15,SENSEX,23326.58
2016-08-16,SENSEX,23236.46
2016-08-17,SENSEX,23186.54
2016-08-18,SENSEX,23213.19
2016-08-19,SENSEX,23227.42
2016-08-22,SENSEX,23019.96
2016-08-23,SENSEX,23174.06
2016-08-24,SENSEX,23139.86
2016-08-25,SENSEX,23024.99
2016-08-26,SENSEX,23225.55
2016-08-29,SENSEX,23294.76
2016-08-30,SENSEX,23506.37
2016-08-31,SENSEX,23225.99
2016-09-01,SENSEX,23107.16
2016-09-02,SENSEX,23273.11
2016-09-05,SENSEX,23302.48
2016-09-06,SENSEX,23408.0
2016-09-07,SENSEX,23473.56
2016-09-08,SENSEX,23553.54
2016-09-09,SENSEX,23740.16
2016-09-12,SENSEX,23619.39
2016-09-13,SENSEX,23638.35
2016-09-14,SENSEX,23651.67
2016-09-15,SENSEX,23753.52
2016-09-16,SENSEX,23846.36
2016-09-19,SENSEX,23929.08
2016-09-20,SENSEX,23887.95
2016-09-21,SENSEX,23952.07
2016-09-22,SENSEX,24105.44
2016-09-23,SENSEX,24233.92
2016-09-26,SENSEX,24286.63
2016-09-27,SENSEX,24242.21
2016-09-28,SENSEX,24222.86
2016-09-29,SENSEX,24405.8
2016-09-30,SENSEX,24153.07
2016-10-03,SENSEX,24066.47
2016-10-04,SENSEX,23948.18
2016-10-05,SENSEX,23959.52
2016-10-06,SENSEX,24015.31
2016-10-07,SENSEX,24007.09
2016-10-10,SENSEX,24083.51
2016-10-11,SENSEX,24165.11
2016-10-12,SENSEX,24111.48
2016-10-13,SENSEX,24224.11
2016-10-14,SENSEX,24130.39
2016-10-17,SENSEX,24314.99
2016-10-18,SENSEX,24487.47
2016-10-19,SENSEX,24438.56
2016-10-20,SENSEX,24480.0
2016-10-21,SENSEX,24394.86
2016-10-24,SENSEX,24247.21
2016-10-25,SENSEX,24151.88
2016-10-26,SENSEX,24330.74
2016-10-27,SENSEX,24333.75
2016-10-28,SENSEX,24234.01
2016-10-31,SENSEX,24400.39
2016-11-01,SENSEX,24275.62
2016-11-02,SENSEX,24292.01
2016-11-03,SENSEX,24233.59
2016-11-04,SENSEX,24164.96
2016-11-07,SENSEX,24086.24
2016-11-08,SENSEX,24099.61
2016-11-09,SENSEX,24064.19
2016-11-10,SENSEX,24075.64
2016-11-11,SENSEX,23988.46
2016-11-14,SENSEX,24105.5
2016-11-15,SENSEX,24159.37
2016-11-16,SENSEX,24162.03
2016-11-17,SENSEX,24064.6
2016-11-18,SENSEX,24182.2
2016-11-21,SENSEX,24252.83
2016-11-22,SENSEX,24320.62
2016-11-23,SENSEX,24326.04
2016-11-24,SENSEX,24350.15
2016-11-25,SENSEX,24393.29
2016-11-28,SENSEX,24510.49
2016-11-29,SENSEX,24630.39
2016-11-30,SENSEX,24529.05
2016-12-01,SENSEX,24627.02
2016-12-02,SENSEX,24679.23
2016-12-05,SENSEX,24741.1
2016-12-06,SENSEX,24755.24
2016-12-07,SENSEX,24833.93
2016-12-08,SENSEX,24968.02
2016-12-09,SENSEX,24978.9
2016-12-12,SENSEX,24888.52
2016-12-13,SENSEX,24819.73
2016-12-14,SENSEX,24867.6
2016-12-15,SENSEX,24690.7
2016-12-16,SENSEX,24737.05
2016-12-19,SENSEX,24902.17
2016-12-20,SENSEX,25100.17
2016-12-21,SENSEX,25086.31
2016-12-22,SENSEX,25212.35
2016-12-23,SENSEX,25262.43
2016-12-26,SENSEX,25344.68
2016-12-27,SENSEX,25460.43
2016-12-28,SENSEX,25504.34
2016-12-29,SENSEX,25446.19
2016-12-30,SENSEX,25579.85
2017-01-02,SENSEX,25789.19
2017-01-03,SENSEX,25700.16
2017-01-04,SENSEX,25591.73
2017-01-05,SENSEX,25690.37
2017-01-06,SENSEX,25768.78
2017-01-09,SENSEX,25827.94
2017-01-10,SENSEX,25882.15
2017-01-11,SENSEX,26007.46
2017-01-12,SENSEX,25892.49
2017-01-13,SENSEX,26004.79
2017-01-16,SENSEX,26136.14
2017-01-17,SENSEX,26104.69
2017-01-18,SENSEX,25720.9
2017-01-19,SENSEX,25730.54
2017-01-20,SENSEX,25722.46
2017-01-23,SENSEX,25667.68
2017-01-24,SENSEX,25589.62
2017-01-25,SENSEX,25644.58
2017-01-26,SENSEX,25752.7
2017-01-27,SENSEX,25707.11
2017-01-30,SENSEX,25833.53
2017-01-31,SENSEX,25985.11
2017-02-01,SENSEX,25877.26
2017-02-02,SENSEX,25904.69
2017-02-03,SENSEX,26015.83
2017-02-06,SENSEX,25922.61
2017-02-07,SENSEX,25996.17
2017-02-08,SENSEX,25872.01
2017-02-09,SENSEX,25769.92
2017-02-10,SENSEX,25710.32
2017-02-13,SENSEX,25778.36
2017-02-14,SENSEX,25755.03
2017-02-15,SENSEX,25784.14
2017-02-16,SENSEX,26011.42
2017-02-17,SENSEX,25955.29
2017-02-20,SENSEX,25891.14
2017-02-21,SENSEX,25761.14
2017-02-22,SENSEX,25718.39
2017-02-23,SENSEX,25531.21
2017-02-24,SENSEX,25456.8
2017-02-27,SENSEX,25434.23
2017-02-28,SENSEX,25469.9
2017-03-01,SENSEX,25469.9
2017-03-02,SENSEX,25731.11
2017-03-03,SENSEX,25618.21
2017-03-06,SENSEX,25658.95
2017-03-07,SENSEX,25558.97
2017-03-08,SENSEX,25490.3
2017-03-09,SENSEX,25535.9
2017-03-10,SENSEX,25582.6
2017-03-13,SENSEX,25631.25
2017-03-14,SENSEX,25589.91
2017-03-15,SENSEX,25829.88
2017-03-16,SENSEX,25905.29
2017-03-17,SENSEX,25708.52
2017-03-20,SENSEX,25799.37
2017-03-21,SENSEX,25718.26
2017-03-22,SENSEX,25559.04
2017-03-23,SENSEX,25665.42
2017-03-24,SENSEX,25775.78
2017-03-27,SENSEX,25618.29
2017-03-28,SENSEX,25599.74
2017-03-29,SENSEX,25625.44
2017-03-30,SENSEX,25344.3
2017-03-31,SENSEX,25274.1
2017-04-03,SENSEX,25154.11
2017-04-04,SENSEX,25324.54
2017-04-05,SENSEX,25320.56
2017-04-06,SENSEX,25118.35
2017-04-07,SENSEX,25322.72
2017-04-10,SENSEX,25300.68
2017-04-11,SENSEX,25288.85
2017-04-12,SENSEX,25261.17
2017-04-13,SENSEX,25294.54
2017-04-14,SENSEX,25557.19
2017-04-17,SENSEX,25656.76
2017-04-18,SENSEX,25676.42
2017-04-19,SENSEX,25886.56
2017-04-20,SENSEX,25929.26
2017-04-21,SENSEX,26151.88
2017-04-24,SENSEX,25976.51
2017-04-25,SENSEX,25708.12
2017-04-26,SENSEX,25746.16
2017-04-27,SENSEX,25934.93
2017-04-28,SENSEX,25679.01
2017-05-01,SENSEX,25774.88
2017-05-02,SENSEX,25794.43
2017-05-03,SENSEX,25794.77
2017-05-04,SENSEX,25948.23
2017-05-05,SENSEX,25892.46
2017-05-08,SENSEX,25707.97
2017-05-09,SENSEX,25677.61
2017-05-10,SENSEX,25724.38
2017-05-11,SENSEX,25869.87
2017-05-12,SENSEX,25802.99
2017-05-15,SENSEX,25588.37
2017-05-16,SENSEX,25645.7
2017-05-17,SENSEX,25711.52
2017-05-18,SENSEX,25718.04
2017-05-19,SENSEX,25444.28
2017-05-22,SENSEX,25348.35
2017-05-23,SENSEX,25402.13
2017-05-24,SENSEX,25184.24
2017-05-25,SENSEX,25365.84
2017-05-26,SENSEX,25363.65
2017-05-29,SENSEX,25312.97
2017-05-30,SENSEX,25331.91
2017-05-31,SENSEX,25220.89
2017-06-01,SENSEX,25306.06
2017-06-02,SENSEX,25222.89
2017-06-05,SENSEX,25308.69
2017-06-06,SENSEX,25251.64
2017-06-07,SENSEX,25290.97
2017-06-08,SENSEX,25040.45
2017-06-09,SENSEX,25087.09
2017-06-12,SENSEX,24955.73
2017-06-13,SENSEX,25017.96
2017-06-14,SENSEX,24996.39
2017-06-15,SENSEX,24952.25
2017-06-16,SENSEX,24991.87
2017-06-19,SENSEX,25154.51
2017-06-20,SENSEX,25200.85
2017-06-21,SENSEX,25204.66
2017-06-22,SENSEX,24971.2
2017-06-23,SENSEX,24940.23
2017-06-26,SENSEX,24810.58
2017-06-27,SENSEX,24974.53
2017-06-28,SENSEX,24996.59
2017-06-29,SENSEX,25160.03
2017-06-30,SENSEX,25161.22
2017-07-03,SENSEX,25352.75
2017-07-04,SENSEX,25522.17
2017-07-05,SENSEX,25515.1
2017-07-06,SENSEX,25553.56
2017-07-07,SENSEX,25560.81
2017-07-10,SENSEX,25626.54
2017-07-11,SENSEX,25410.72
2017-07-12,SENSEX,25247.98
2017-07-13,SENSEX,25355.77
2017-07-14,SENSEX,25187.22
2017-07-17,SENSEX,25305.21
2017-07-18,SENSEX,25247.12
2017-07-19,SENSEX,25336.61
2017-07-20,SENSEX,25345.49
2017-07-21,SENSEX,25214.97
2017-07-24,SENSEX,25318.35
2017-07-25,SENSEX,25432.57
2017-07-26,SENSEX,25661.1
2017-07-27,SENSEX,25687.66
2017-07-28,SENSEX,25782.48
2017-07-31,SENSEX,25593.72
2017-08-01,SENSEX,25587.64
2017-08-02,SENSEX,25599.62
2017-08-03,SENSEX,25592.22
2017-08-04,SENSEX,25624.98
2017-08-07,SENSEX,25484.5
2017-08-08,SENSEX,25466.16
2017-08-09,SENSEX,25373.78
2017-08-10,SENSEX,25375.08
2017-08-11,SENSEX,25383.91
2017-08-14,SENSEX,25560.67
2017-08-15,SENSEX,25399.25
2017-08-16,SENSEX,25306.1
2017-08-17,SENSEX,25270.31
2017-08-18,SENSEX,25309.34
2017-08-21,SENSEX,25371.39
2017-08-22,SENSEX,25276.0
2017-08-23,SENSEX,25104.33
2017-08-24,SENSEX,24954.08
2017-08-25,SENSEX,24799.44
2017-08-28,SENSEX,24768.69
2017-08-29,SENSEX,24639.7
2017-08-30,SENSEX,24624.08
2017-08-31,SENSEX,24655.54
2017-09-01,SENSEX,24466.9
2017-09-04,SENSEX,24622.18
2017-09-05,SENSEX,24780.8
2017-09-06,SENSEX,24831.19
2017-09-07,SENSEX,24682.03
2017-09-08,SENSEX,24644.6
2017-09-11,SENSEX,24796.83
2017-09-12,SENSEX,24746.94
2017-09-13,SENSEX,24960.11
2017-09-14,SENSEX,24853.35
2017-09-15,SENSEX,24747.59
2017-09-18,SENSEX,24789.79
2017-09-19,SENSEX,24890.02
2017-09-20,SENSEX,24891.93
2017-09-21,SENSEX,25097.65
2017-09-22,SENSEX,25247.53
2017-09-25,SENSEX,25140.34
2017-09-26,SENSEX,25081.04
2017-09-27,SENSEX,24845.98
2017-09-28,SENSEX,24860.26
2017-09-29,SENSEX,24823.09
2017-10-02,SENSEX,24866.2
2017-10-03,SENSEX,24955.72
2017-10-04,SENSEX,24927.3
2017-10-05,SENSEX,25018.97
2017-10-06,SENSEX,24980.09
2017-10-09,SENSEX,25061.24
2017-10-10,SENSEX,24920.86
2017-10-11,SENSEX,24835.88
2017-10-12,SENSEX,24972.58
2017-10-13,SENSEX,25060.02
2017-10-16,SENSEX,25023.16
2017-10-17,SENSEX,25174.83
2017-10-18,SENSEX,25082.48
2017-10-19,SENSEX,25141.75
2017-10-20,SENSEX,25115.46
2017-10-23,SENSEX,25059.21
2017-10-24,SENSEX,25123.23
2017-10-25,SENSEX,25069.45
2017-10-26,SENSEX,24849.63
2017-10-27,SENSEX,24943.8
2017-10-30,SENSEX,24945.22
2017-10-31,SENSEX,24817.92
2017-11-01,SENSEX,24783.48
2017-11-02,SENSEX,24899.99
2017-11-03,SENSEX,24800.21
2017-11-06,SENSEX,24838.34
2017-11-07,SENSEX,24891.88
2017-11-08,SENSEX,24761.8
2017-11-09,SENSEX,24720.31
2017-11-10,SENSEX,24583.95
2017-11-13,SENSEX,24630.93
2017-11-14,SENSEX,24668.7
2017-11-15,SENSEX,24593.23
2017-11-16,SENSEX,24553.05
2017-11-17,SENSEX,24589.94
2017-11-20,SENSEX,24633.9
2017-11-21,SENSEX,24492.41
2017-11-22,SENSEX,24712.11
2017-11-23,SENSEX,24841.08
2017-11-24,SENSEX,24727.64
2017-11-27,SENSEX,24523.7
2017-11-28,SENSEX,24456.75
2017-11-29,SENSEX,24409.73
2017-11-30,SENSEX,24272.22
2017-12-01,SENSEX,24459.15
2017-12-04,SENSEX,24574.38
2017-12-05,SENSEX,24338.72
2017-12-06,SENSEX,24274.72
2017-12-07,SENSEX,24275.22
2017-12-08,SENSEX,24314.27
2017-12-11,SENSEX,24148.95
2017-12-12,SENSEX,23922.13
2017-12-13,SENSEX,23764.2
2017-12-14,SENSEX,23702.29
2017-12-15,SENSEX,23969.94
2017-12-18,SENSEX,24080.84
2017-12-19,SENSEX,24136.97
2017-12-20,SENSEX,24096.17
2017-12-21,SENSEX,24185.98
2017-12-22,SENSEX,23938.41
