date,company,sentiment_score
2015-05-27,HDFC,0.321
2015-05-28,HDFC,0.286
2015-05-29,HDFC,0.272
2015-06-01,HDFC,0.44
2015-06-02,HDFC,0.403
2015-06-03,HDFC,0.139
2015-06-04,HDFC,0.253
2015-06-05,HDFC,0.385
2015-06-08,HDFC,0.317
2015-06-09,HDFC,0.246
2015-06-10,HDFC,0.25
2015-06-11,HDFC,0.234
2015-06-12,HDFC,0.304
2015-06-15,HDFC,0.167
2015-06-16,HDFC,0.339
2015-06-17,HDFC,0.196
2015-06-18,HDFC,0.347
2015-06-19,HDFC,0.386
2015-06-22,HDFC,0.345
2015-06-23,HDFC,0.263
2015-06-24,HDFC,0.235
2015-06-25,HDFC,0.208
2015-06-26,HDFC,0.276
2015-06-29,HDFC,0.399
2015-06-30,HDFC,0.327
2015-07-01,HDFC,0.283
2015-07-02,HDFC,0.195
2015-07-03,HDFC,0.362
2015-07-06,HDFC,0.411
2015-07-07,HDFC,0.16
2015-07-08,HDFC,0.32
2015-07-09,HDFC,0.236
2015-07-10,HDFC,0.312
2015-07-13,HDFC,0.181
2015-07-14,HDFC,0.415
2015-07-15,HDFC,0.344
2015-07-16,HDFC,0.229
2015-07-17,HDFC,0.143
2015-07-20,HDFC,0.249
2015-07-21,HDFC,0.348
2015-07-22,HDFC,0.285
2015-07-23,HDFC,0.336
2015-07-24,HDFC,0.274
2015-07-27,HDFC,0.36
2015-07-28,HDFC,0.253
2015-07-29,HDFC,0.322
2015-07-30,HDFC,0.345
2015-07-31,HDFC,0.41
2015-08-03,HDFC,0.2
2015-08-04,HDFC,0.223
2015-08-05,HDFC,0.318
2015-08-06,HDFC,0.291
2015-08-07,HDFC,0.223
2015-08-10,HDFC,0.305
2015-08-11,HDFC,0.27
2015-08-12,HDFC,0.148
2015-08-13,HDFC,0.259
2015-08-14,HDFC,0.388
2015-08-17,HDFC,0.28
2015-08-18,HDFC,0.389
2015-08-19,HDFC,0.434
2015-08-20,HDFC,0.304
2015-08-21,HDFC,0.227
2015-08-24,HDFC,0.248
2015-08-25,HDFC,0.375
2015-08-26,HDFC,0.768
2015-08-27,HDFC,0.408
2015-08-28,HDFC,0.348
2015-08-31,HDFC,0.352
2015-09-01,HDFC,0.298
2015-09-02,HDFC,0.685
2015-09-03,HDFC,0.361
2015-09-04,HDFC,0.313
2015-09-07,HDFC,0.154
2015-09-08,HDFC,0.404
2015-09-09,HDFC,0.277
2015-09-10,HDFC,0.19
2015-09-11,HDFC,0.426
2015-09-14,HDFC,0.411
2015-09-15,HDFC,0.212
2015-09-16,HDFC,0.272
2015-09-17,HDFC,0.392
2015-09-18,HDFC,0.431
2015-09-21,HDFC,0.28
2015-09-22,HDFC,0.25
2015-09-23,HDFC,0.428
2015-09-24,HDFC,0.227
2015-09-25,HDFC,0.234
2015-09-28,HDFC,0.393
2015-09-29,HDFC,0.421
2015-09-30,HDFC,0.447
2015-10-01,HDFC,0.267
2015-10-02,HDFC,0.307
2015-10-05,HDFC,0.286
2015-10-06,HDFC,0.387
2015-10-07,HDFC,0.194
2015-10-08,HDFC,0.36
2015-10-09,HDFC,0.181
2015-10-12,HDFC,0.336
2015-10-13,HDFC,0.324
2015-10-14,HDFC,0.237
2015-10-15,HDFC,0.284
2015-10-16,HDFC,0.437
2015-10-19,HDFC,0.177
2015-10-20,HDFC,0.245
2015-10-21,HDFC,0.229
2015-10-22,HDFC,0.379
2015-10-23,HDFC,0.428
2015-10-26,HDFC,0.185
2015-10-27,HDFC,0.446
2015-10-28,HDFC,0.317
2015-10-29,HDFC,0.449
2015-10-30,HDFC,0.222
2015-11-02,HDFC,0.324
2015-11-03,HDFC,0.428
2015-11-04,HDFC,0.286
2015-11-05,HDFC,0.267
2015-11-06,HDFC,0.359
2015-11-09,HDFC,0.373
2015-11-10,HDFC,0.321
2015-11-11,HDFC,0.374
2015-11-12,HDFC,0.192
2015-11-13,HDFC,0.313
2015-11-16,HDFC,0.349
2015-11-17,HDFC,0.408
2015-11-18,HDFC,0.264
2015-11-19,HDFC,0.33
2015-11-20,HDFC,0.21
2015-11-23,HDFC,0.277
2015-11-24,HDFC,0.437
2015-11-25,HDFC,0.234
2015-11-26,HDFC,0.294
2015-11-27,HDFC,0.427
2015-11-30,HDFC,0.282
2015-12-01,HDFC,0.372
2015-12-02,HDFC,0.189
2015-12-03,HDFC,0.257
2015-12-04,HDFC,0.329
2015-12-07,HDFC,0.28
2015-12-08,HDFC,0.345
2015-12-09,HDFC,0.26
2015-12-10,HDFC,0.318
2015-12-11,HDFC,0.38
2015-12-14,HDFC,0.806
2015-12-15,HDFC,0.365
2015-12-16,HDFC,0.244
2015-12-17,HDFC,0.41
2015-12-18,HDFC,0.275
2015-12-21,HDFC,0.465
2015-12-22,HDFC,0.188
2015-12-23,HDFC,0.204
2015-12-24,HDFC,0.39
2015-12-25,HDFC,0.305
2015-12-28,HDFC,0.212
2015-12-29,HDFC,0.37
2015-12-30,HDFC,0.32
2015-12-31,HDFC,0.423
2016-01-01,HDFC,0.441
2016-01-04,HDFC,0.341
2016-01-05,HDFC,0.319
2016-01-06,HDFC,0.358
2016-01-07,HDFC,0.187
2016-01-08,HDFC,0.453
2016-01-11,HDFC,0.311
2016-01-12,HDFC,0.241
2016-01-13,HDFC,0.267
2016-01-14,HDFC,0.317
2016-01-15,HDFC,0.327
2016-01-18,HDFC,0.512
2016-01-19,HDFC,0.367
2016-01-20,HDFC,0.377
2016-01-21,HDFC,0.348
2016-01-22,HDFC,0.312
2016-01-25,HDFC,0.338
2016-01-26,HDFC,0.081
2016-01-27,HDFC,0.325
2016-01-28,HDFC,0.447
2016-01-29,HDFC,0.433
2016-02-01,HDFC,0.229
2016-02-02,HDFC,0.414
2016-02-03,HDFC,0.461
2016-02-04,HDFC,0.207
2016-02-05,HDFC,0.355
2016-02-08,HDFC,0.252
2016-02-09,HDFC,0.289
2016-02-10,HDFC,0.279
2016-02-11,HDFC,0.458
2016-02-12,HDFC,0.246
2016-02-15,HDFC,0.356
2016-02-16,HDFC,0.208
2016-02-17,HDFC,0.261
2016-02-18,HDFC,0.231
2016-02-19,HDFC,0.295
2016-02-22,HDFC,0.234
2016-02-23,HDFC,0.411
2016-02-24,HDFC,0.404
2016-02-25,HDFC,0.226
2016-02-26,HDFC,0.382
2016-02-29,HDFC,0.449
2016-03-01,HDFC,0.302
2016-03-02,HDFC,0.444
2016-03-03,HDFC,0.254
2016-03-04,HDFC,0.457
2016-03-07,HDFC,0.233
2016-03-08,HDFC,0.208
2016-03-09,HDFC,0.342
2016-03-10,HDFC,0.194
2016-03-11,HDFC,0.392
2016-03-14,HDFC,0.041
2016-03-15,HDFC,0.37
2016-03-16,HDFC,0.457
2016-03-17,HDFC,0.377
2016-03-18,HDFC,0.362
2016-03-21,HDFC,0.282
2016-03-22,HDFC,0.249
2016-03-23,HDFC,0.305
2016-03-24,HDFC,0.439
2016-03-25,HDFC,0.304
2016-03-28,HDFC,0.224
2016-03-29,HDFC,0.277
2016-03-30,HDFC,0.193
2016-03-31,HDFC,0.279
2016-04-01,HDFC,0.315
2016-04-04,HDFC,0.284
2016-04-05,HDFC,0.482
2016-04-06,HDFC,0.21
2016-04-07,HDFC,0.37
2016-04-08,HDFC,0.486
2016-04-11,HDFC,0.435
2016-04-12,HDFC,0.372
2016-04-13,HDFC,0.241
2016-04-14,HDFC,0.482
2016-04-15,HDFC,0.401
2016-04-18,HDFC,0.199
2016-04-19,HDFC,0.383
2016-04-20,HDFC,0.291
2016-04-21,HDFC,0.356
2016-04-22,HDFC,0.273
2016-04-25,HDFC,0.425
2016-04-26,HDFC,0.431
2016-04-27,HDFC,0.456
2016-04-28,HDFC,0.264
2016-04-29,HDFC,0.434
2016-05-02,HDFC,0.386
2016-05-03,HDFC,0.428
2016-05-04,HDFC,0.412
2016-05-05,HDFC,0.321
2016-05-06,HDFC,0.252
2016-05-09,HDFC,0.204
2016-05-10,HDFC,0.444
2016-05-11,HDFC,0.22
2016-05-12,HDFC,0.233
2016-05-13,HDFC,0.238
2016-05-16,HDFC,0.38
2016-05-17,HDFC,0.426
2016-05-18,HDFC,0.255
2016-05-19,HDFC,0.287
2016-05-20,HDFC,0.354
2016-05-23,HDFC,0.197
2016-05-24,HDFC,0.371
2016-05-25,HDFC,0.224
2016-05-26,HDFC,0.311
2016-05-27,HDFC,0.244
2016-05-30,HDFC,0.432
2016-05-31,HDFC,0.48
2016-06-01,HDFC,0.4
2016-06-02,HDFC,0.396
2016-06-03,HDFC,0.47
2016-06-06,HDFC,0.482
2016-06-07,HDFC,0.555
2016-06-08,HDFC,0.287
2016-06-09,HDFC,0.239
2016-06-10,HDFC,0.301
2016-06-13,HDFC,0.321
2016-06-14,HDFC,0.355
2016-06-15,HDFC,0.31
2016-06-16,HDFC,0.392
2016-06-17,HDFC,0.449
2016-06-20,HDFC,0.207
2016-06-21,HDFC,0.363
2016-06-22,HDFC,0.357
2016-06-23,HDFC,0.389
2016-06-24,HDFC,0.424
2016-06-27,HDFC,0.43
2016-06-28,HDFC,0.423
2016-06-29,HDFC,0.366
2016-06-30,HDFC,0.272
2016-07-01,HDFC,0.221
2016-07-04,HDFC,0.281
2016-07-05,HDFC,0.307
2016-07-06,HDFC,0.211
2016-07-07,HDFC,0.4
2016-07-08,HDFC,0.369
2016-07-11,HDFC,0.403
2016-07-12,HDFC,0.292
2016-07-13,HDFC,0.372
2016-07-14,HDFC,0.242
2016-07-15,HDFC,0.496
2016-07-18,HDFC,0.322
2016-07-19,HDFC,0.279
2016-07-20,HDFC,0.322
2016-07-21,HDFC,0.336
2016-07-22,HDFC,0.406
2016-07-25,HDFC,0.465
2016-07-26,HDFC,0.222
2016-07-27,HDFC,0.39
2016-07-28,HDFC,0.496
2016-07-29,HDFC,0.37
2016-08-01,HDFC,0.473
2016-08-02,HDFC,0.219
2016-08-03,HDFC,0.415
2016-08-04,HDFC,0.426
2016-08-05,HDFC,0.398
2016-08-08,HDFC,0.299
2016-08-09,HDFC,0.484
2016-08-10,HDFC,0.337
2016-08-11,HDFC,0.441
2016-08-12,HDFC,0.209
2016-08-15,HDFC,0.434
2016-08-16,HDFC,0.261
2016-08-17,HDFC,0.339
2016-08-18,HDFC,0.281
2016-08-19,HDFC,0.21
2016-08-22,HDFC,0.454
2016-08-23,HDFC,0.494
2016-08-24,HDFC,0.467
2016-08-25,HDFC,0.224
2016-08-26,HDFC,0.251
2016-08-29,HDFC,0.273
2016-08-30,HDFC,0.356
2016-08-31,HDFC,0.463
2016-09-01,HDFC,0.39
2016-09-02,HDFC,0.331
2016-09-05,HDFC,0.358
2016-09-06,HDFC,0.349
2016-09-07,HDFC,0.368
2016-09-08,HDFC,0.326
2016-09-09,HDFC,0.361
2016-09-12,HDFC,0.461
2016-09-13,HDFC,0.354
2016-09-14,HDFC,0.316
2016-09-15,HDFC,0.193
2016-09-16,HDFC,0.325
2016-09-19,HDFC,0.367
2016-09-20,HDFC,0.275
2016-09-21,HDFC,0.414
2016-09-22,HDFC,0.312
2016-09-23,HDFC,0.286
2016-09-26,HDFC,0.375
2016-09-27,HDFC,0.43
2016-09-28,HDFC,0.364
2016-09-29,HDFC,0.464
2016-09-30,HDFC,0.305
2016-10-03,HDFC,0.368
2016-10-04,HDFC,0.388
2016-10-05,HDFC,0.416
2016-10-06,HDFC,0.248
2016-10-07,HDFC,0.273
2016-10-10,HDFC,0.284
2016-10-11,HDFC,0.297
2016-10-12,HDFC,0.261
2016-10-13,HDFC,0.241
2016-10-14,HDFC,0.212
2016-10-17,HDFC,0.477
2016-10-18,HDFC,0.382
2016-10-19,HDFC,0.302
2016-10-20,HDFC,0.315
2016-10-21,HDFC,0.387
2016-10-24,HDFC,0.318
2016-10-25,HDFC,0.353
2016-10-26,HDFC,0.34
2016-10-27,HDFC,0.391
2016-10-28,HDFC,0.204
2016-10-31,HDFC,0.431
2016-11-01,HDFC,0.374
2016-11-02,HDFC,0.271
2016-11-03,HDFC,0.462
2016-11-04,HDFC,0.189
2016-11-07,HDFC,0.27
2016-11-08,HDFC,0.398
2016-11-09,HDFC,0.413
2016-11-10,HDFC,0.385
2016-11-11,HDFC,0.264
2016-11-14,HDFC,0.408
2016-11-15,HDFC,0.373
2016-11-16,HDFC,0.39
2016-11-17,HDFC,0.456
2016-11-18,HDFC,0.373
2016-11-21,HDFC,0.385
2016-11-22,HDFC,0.277
2016-11-23,HDFC,0.392
2016-11-24,HDFC,0.443
2016-11-25,HDFC,0.344
2016-11-28,HDFC,0.233
2016-11-29,HDFC,0.387
2016-11-30,HDFC,0.465
2016-12-01,HDFC,0.353
2016-12-02,HDFC,0.481
2016-12-05,HDFC,0.449
2016-12-06,HDFC,0.381
2016-12-07,HDFC,0.243
2016-12-08,HDFC,0.377
2016-12-09,HDFC,0.208
2016-12-12,HDFC,0.329
2016-12-13,HDFC,0.219
2016-12-14,HDFC,0.185
2016-12-15,HDFC,0.356
2016-12-16,HDFC,0.214
2016-12-19,HDFC,0.289
2016-12-20,HDFC,0.326
2016-12-21,HDFC,0.301
2016-12-22,HDFC,0.423
2016-12-23,HDFC,0.338
2016-12-26,HDFC,0.355
2016-12-27,HDFC,0.46
2016-12-28,HDFC,0.125
2016-12-29,HDFC,0.309
2016-12-30,HDFC,0.325
2017-01-02,HDFC,0.292
2017-01-03,HDFC,0.387
2017-01-04,HDFC,0.459
2017-01-05,HDFC,0.197
2017-01-06,HDFC,0.411
2017-01-09,HDFC,0.233
2017-01-10,HDFC,0.413
2017-01-11,HDFC,0.331
2017-01-12,HDFC,0.281
2017-01-13,HDFC,0.446
2017-01-16,HDFC,0.429
2017-01-17,HDFC,0.299
2017-01-18,HDFC,0.285
2017-01-19,HDFC,0.352
2017-01-20,HDFC,0.18
2017-01-23,HDFC,0.335
2017-01-24,HDFC,0.461
2017-01-25,HDFC,0.259
2017-01-26,HDFC,0.406
2017-01-27,HDFC,0.176
2017-01-30,HDFC,0.259
2017-01-31,HDFC,0.323
2017-02-01,HDFC,0.274
2017-02-02,HDFC,0.391
2017-02-03,HDFC,0.738
2017-02-06,HDFC,0.465
2017-02-07,HDFC,0.29
2017-02-08,HDFC,0.396
2017-02-09,HDFC,0.263
2017-02-10,HDFC,0.305
2017-02-13,HDFC,0.255
2017-02-14,HDFC,0.34
2017-02-15,HDFC,0.4
2017-02-16,HDFC,0.252
2017-02-17,HDFC,0.46
2017-02-20,HDFC,0.244
2017-02-21,HDFC,0.427
2017-02-22,HDFC,0.346
2017-02-23,HDFC,0.38
2017-02-24,HDFC,0.359
2017-02-27,HDFC,0.416
2017-02-28,HDFC,0.22
2017-03-01,HDFC,0.437
2017-03-02,HDFC,0.457
2017-03-03,HDFC,0.315
2017-03-06,HDFC,0.414
2017-03-07,HDFC,0.634
2017-03-08,HDFC,0.445
2017-03-09,HDFC,0.166
2017-03-10,HDFC,0.434
2017-03-13,HDFC,0.407
2017-03-14,HDFC,0.278
2017-03-15,HDFC,0.414
2017-03-16,HDFC,0.362
2017-03-17,HDFC,0.274
2017-03-20,HDFC,0.336
2017-03-21,HDFC,0.24
2017-03-22,HDFC,0.423
2017-03-23,HDFC,0.378
2017-03-24,HDFC,0.02
2017-03-27,HDFC,0.198
2017-03-28,HDFC,0.353
2017-03-29,HDFC,0.321
2017-03-30,HDFC,0.436
2017-03-31,HDFC,0.383
2017-04-03,HDFC,0.356
2017-04-04,HDFC,0.395
2017-04-05,HDFC,0.4
2017-04-06,HDFC,0.391
2017-04-07,HDFC,0.305
2017-04-10,HDFC,0.166
2017-04-11,HDFC,0.293
2017-04-12,HDFC,0.297
2017-04-13,HDFC,0.203
2017-04-14,HDFC,0.353
2017-04-17,HDFC,0.36
2017-04-18,HDFC,0.166
2017-04-19,HDFC,0.259
2017-04-20,HDFC,0.362
2017-04-21,HDFC,0.257
2017-04-24,HDFC,0.404
2017-04-25,HDFC,0.396
2017-04-26,HDFC,0.323
2017-04-27,HDFC,0.278
2017-04-28,HDFC,0.203
2017-05-01,HDFC,0.182
2017-05-02,HDFC,0.155
2017-05-03,HDFC,0.393
2017-05-04,HDFC,0.3
2017-05-05,HDFC,0.358
2017-05-08,HDFC,0.362
2017-05-09,HDFC,0.257
2017-05-10,HDFC,0.297
2017-05-11,HDFC,0.168
2017-05-12,HDFC,0.268
2017-05-15,HDFC,0.329
2017-05-16,HDFC,0.428
2017-05-17,HDFC,0.429
2017-05-18,HDFC,0.775
2017-05-19,HDFC,0.195
2017-05-22,HDFC,0.525
2017-05-23,HDFC,0.301
2017-05-24,HDFC,0.147
2017-05-25,HDFC,0.157
2017-05-26,HDFC,0.533
2017-05-29,HDFC,0.241
2017-05-30,HDFC,0.3
2017-05-31,HDFC,0.376
2017-06-01,HDFC,0.229
2017-06-02,HDFC,0.324
2017-06-05,HDFC,0.393
2017-06-06,HDFC,0.641
2017-06-07,HDFC,0.385
2017-06-08,HDFC,0.212
2017-06-09,HDFC,0.166
2017-06-12,HDFC,0.399
2017-06-13,HDFC,0.255
2017-06-14,HDFC,0.164
2017-06-15,HDFC,-0.002
2017-06-16,HDFC,0.146
2017-06-19,HDFC,0.336
2017-06-20,HDFC,0.209
2017-06-21,HDFC,0.154
2017-06-22,HDFC,0.366
2017-06-23,HDFC,0.218
2017-06-26,HDFC,0.277
2017-06-27,HDFC,0.147
2017-06-28,HDFC,0.292
2017-06-29,HDFC,0.201
2017-06-30,HDFC,0.265
2017-07-03,HDFC,0.143
2017-07-04,HDFC,0.311
2017-07-05,HDFC,-0.122
2017-07-06,HDFC,0.297
2017-07-07,HDFC,0.142
2017-07-10,HDFC,0.209
2017-07-11,HDFC,0.173
2017-07-12,HDFC,0.34
2017-07-13,HDFC,0.144
2017-07-14,HDFC,0.279
2017-07-17,HDFC,0.194
2017-07-18,HDFC,0.12
2017-07-19,HDFC,0.371
2017-07-20,HDFC,0.251
2017-07-21,HDFC,0.375
2017-07-24,HDFC,0.248
2017-07-25,HDFC,0.181
2017-07-26,HDFC,0.393
2017-07-27,HDFC,0.357
2017-07-28,HDFC,0.127
2017-07-31,HDFC,0.13
2017-08-01,HDFC,0.861
2017-08-02,HDFC,0.306
2017-08-03,HDFC,0.352
2017-08-04,HDFC,0.2
2017-08-07,HDFC,0.209
2017-08-08,HDFC,0.274
2017-08-09,HDFC,0.323
2017-08-10,HDFC,0.397
2017-08-11,HDFC,0.402
2017-08-14,HDFC,0.293
2017-08-15,HDFC,0.389
2017-08-16,HDFC,0.18
2017-08-17,HDFC,0.227
2017-08-18,HDFC,0.348
2017-08-21,HDFC,0.352
2017-08-22,HDFC,0.258
2017-08-23,HDFC,0.383
2017-08-24,HDFC,0.125
2017-08-25,HDFC,0.37
2017-08-28,HDFC,0.353
2017-08-29,HDFC,0.207
2017-08-30,HDFC,0.181
2017-08-31,HDFC,0.165
2017-09-01,HDFC,0.265
2017-09-04,HDFC,0.353
2017-09-05,HDFC,0.831
2017-09-06,HDFC,0.269
2017-09-07,HDFC,0.241
2017-09-08,HDFC,0.119
2017-09-11,HDFC,0.386
2017-09-12,HDFC,0.307
2017-09-13,HDFC,0.238
2017-09-14,HDFC,0.322
2017-09-15,HDFC,0.313
2017-09-18,HDFC,0.297
2017-09-19,HDFC,0.277
2017-09-20,HDFC,0.201
2017-09-21,HDFC,0.345
2017-09-22,HDFC,0.172
2017-09-25,HDFC,0.103
2017-09-26,HDFC,0.324
2017-09-27,HDFC,0.272
2017-09-28,HDFC,0.352
2017-09-29,HDFC,0.132
2017-10-02,HDFC,0.38
2017-10-03,HDFC,0.116
2017-10-04,HDFC,0.358
2017-10-05,HDFC,0.326
2017-10-06,HDFC,0.318
2017-10-09,HDFC,0.306
2017-10-10,HDFC,0.212
2017-10-11,HDFC,0.331
2017-10-12,HDFC,0.212
2017-10-13,HDFC,0.171
2017-10-16,HDFC,0.234
2017-10-17,HDFC,0.33
2017-10-18,HDFC,0.147
2017-10-19,HDFC,0.085
2017-10-20,HDFC,0.326
2017-10-23,HDFC,0.24
2017-10-24,HDFC,0.118
2017-10-25,HDFC,0.216
2017-10-26,HDFC,0.171
2017-10-27,HDFC,0.225
2017-10-30,HDFC,0.139
2017-10-31,HDFC,0.141
2017-11-01,HDFC,0.255
2017-11-02,HDFC,0.161
2017-11-03,HDFC,0.352
2017-11-06,HDFC,0.361
2017-11-07,HDFC,0.113
2017-11-08,HDFC,0.116
2017-11-09,HDFC,0.302
2017-11-10,HDFC,0.074
2017-11-13,HDFC,0.184
2017-11-14,HDFC,0.153
2017-11-15,HDFC,0.363
2017-11-16,HDFC,0.094
2017-11-17,HDFC,0.349
2017-11-20,HDFC,0.35
2017-11-21,HDFC,0.226
2017-11-22,HDFC,0.278
2017-11-23,HDFC,0.145
2017-11-24,HDFC,0.064
2017-11-27,HDFC,0.157
2017-11-28,HDFC,0.164
2017-11-29,HDFC,0.178
2017-11-30,HDFC,0.22
2017-12-01,HDFC,0.204
2017-12-04,HDFC,0.36
2017-12-05,HDFC,0.241
2017-12-06,HDFC,0.266
2017-12-07,HDFC,0.344
2017-12-08,HDFC,0.342
2017-12-11,HDFC,0.303
2017-12-12,HDFC,0.321
2017-12-13,HDFC,0.143
2017-12-14,HDFC,0.335
2017-12-15,HDFC,0.202
2017-12-18,HDFC,0.295
2017-12-19,HDFC,0.253
2017-12-20,HDFC,0.069
2017-12-21,HDFC,0.061
2017-12-22,HDFC,0.277
2017-12-25,HDFC,0.081
2017-12-26,HDFC,0.251
2017-12-27,HDFC,0.231
2017-12-28,HDFC,0.117
2017-12-29,HDFC,0.309
2018-01-01,HDFC,0.12
2018-01-02,HDFC,0.141
2018-01-03,HDFC,0.199
2018-01-04,HDFC,0.308
2018-01-05,HDFC,0.201
2018-01-08,HDFC,0.318
2018-01-09,HDFC,0.171
2018-01-10,HDFC,0.091
2018-01-11,HDFC,0.263
2018-01-12,HDFC,0.317
2018-01-15,HDFC,0.088
2018-01-16,HDFC,0.076
2018-01-17,HDFC,0.135
2018-01-18,HDFC,0.147
2018-01-19,HDFC,0.275
2018-01-22,HDFC,0.245
2018-01-23,HDFC,0.143
2018-01-24,HDFC,0.281
2018-01-25,HDFC,0.072
2018-01-26,HDFC,0.284
2018-01-29,HDFC,0.197
2018-01-30,HDFC,0.153
2018-01-31,HDFC,0.238
2018-02-01,HDFC,0.68
2018-02-02,HDFC,0.161
2018-02-05,HDFC,0.085
2018-02-06,HDFC,0.204
2018-02-07,HDFC,0.233
2018-02-08,HDFC,0.184
2018-02-09,HDFC,0.296
2018-02-12,HDFC,0.157
2018-02-13,HDFC,0.306
2018-02-14,HDFC,0.255
2018-02-15,HDFC,0.503
2018-02-16,HDFC,0.279
2018-02-19,HDFC,0.28
2018-02-20,HDFC,0.309
2018-02-21,HDFC,0.166
2018-02-22,HDFC,0.183
2018-02-23,HDFC,0.234
2018-02-26,HDFC,0.255
2018-02-27,HDFC,0.26
2018-02-28,HDFC,0.111
2018-03-01,HDFC,0.17
2018-03-02,HDFC,0.206
2018-03-05,HDFC,0.289
2018-03-06,HDFC,0.139
2018-03-07,HDFC,0.138
2018-03-08,HDFC,0.29
2018-03-09,HDFC,0.039
2018-03-12,HDFC,0.183
2018-03-13,HDFC,0.198
2018-03-14,HDFC,0.029
2018-03-15,HDFC,0.181
2018-03-16,HDFC,0.303
2018-03-19,HDFC,0.153
2018-03-20,HDFC,0.159
2018-03-21,HDFC,0.123
2018-03-22,HDFC,0.305
2018-03-23,HDFC,0.035
2018-03-26,HDFC,0.205
2018-03-27,HDFC,0.092
2018-03-28,HDFC,0.278
2018-03-29,HDFC,0.144
2018-03-30,HDFC,0.082
2018-04-02,HDFC,0.11
2018-04-03,HDFC,0.04
2018-04-04,HDFC,0.295
2018-04-05,HDFC,0.182
2018-04-06,HDFC,0.273
2018-04-09,HDFC,0.056
2018-04-10,HDFC,0.215
2018-04-11,HDFC,0.097
2018-04-12,HDFC,0.038
2018-04-13,HDFC,0.1
2018-04-16,HDFC,0.193
2018-04-17,HDFC,0.21
2018-04-18,HDFC,0.046
2018-04-19,HDFC,0.025
2018-04-20,HDFC,0.265
2018-04-23,HDFC,0.29
2018-04-24,HDFC,0.285
2018-04-25,HDFC,0.232
2018-04-26,HDFC,0.108
2018-04-27,HDFC,0.178
2018-04-30,HDFC,0.132
2018-05-01,HDFC,0.182
2018-05-02,HDFC,0.016
2018-05-03,HDFC,0.134
2018-05-04,HDFC,0.045
2018-05-07,HDFC,0.082
